Day,Floret,Temp,Time,Length
3,5,25,09:00,8.033301282
1,1,35,06:00,7.178637317
1,2,35,06:00,7.40163522
1,3,35,06:00,6.946771488
1,4,35,06:00,7.031656184
1,5,35,06:00,7.115545073
2,1,35,06:00,7.999194578
2,2,35,06:00,7.989870791
2,3,35,06:00,8.343655935
2,4,35,06:00,8.070631437
2,5,35,06:00,8.103817565
3,1,35,06:00,7.611856205
3,2,35,06:00,6.821104287
3,3,35,06:00,7.158418466
3,4,35,06:00,7.410097767
3,5,35,06:00,7.518527213
1,1,35,06:15,7.811653117
1,2,35,06:15,7.56796748
1,3,35,06:15,7.345921409
1,4,35,06:15,7.371517615
1,5,35,06:15,7.662140921
2,1,35,06:15,7.89593247
2,2,35,06:15,8.359000524
2,3,35,06:15,8.057831877
2,4,35,06:15,8.497367334
2,5,35,06:15,8.37310967
3,1,35,06:15,7.254210183
3,2,35,06:15,7.529739568
3,3,35,06:15,7.481816078
3,4,35,06:15,7.698374845
3,5,35,06:15,7.752102461
1,1,35,06:30,7.795669291
1,2,35,06:30,8.19843832
1,3,35,06:30,7.764986877
1,4,35,06:30,7.64144357
1,5,35,06:30,7.716535433
2,1,35,06:30,8.385346303
2,2,35,06:30,8.538691227
2,3,35,06:30,8.305482197
2,4,35,06:30,8.465608536
2,5,35,06:30,8.676018208
3,1,35,06:30,7.604325727
3,2,35,06:30,8.165260242
3,3,35,06:30,7.085971702
3,4,35,06:30,8.081114424
3,5,35,06:30,8.132760894
1,1,35,06:45,7.914818841
1,2,35,06:45,7.951557971
1,3,35,06:45,7.762089372
1,4,35,06:45,8.043804348
1,5,35,06:45,7.925434783
2,1,35,06:45,8.319299086
2,2,35,06:45,8.447989138
2,3,35,06:45,8.562217069
2,4,35,06:45,8.409765782
2,5,35,06:45,8.377190355
3,1,35,06:45,7.961211294
3,2,35,06:45,8.225582562
3,3,35,06:45,8.722695496
3,4,35,06:45,8.13858544
3,5,35,06:45,8.154431681
1,1,35,07:00,8.046853448
1,2,35,07:00,8.373175287
1,3,35,07:00,8.324655172
1,4,35,07:00,8.42183908
1,5,35,07:00,8.43683908
2,1,35,07:00,8.224161927
2,2,35,07:00,8.526819659
2,3,35,07:00,8.736187753
2,4,35,07:00,8.626401234
2,5,35,07:00,8.954360112
3,1,35,07:00,7.798317394
3,2,35,07:00,8.002442067
3,3,35,07:00,8.084703052
3,4,35,07:00,8.392453798
3,5,35,07:00,8.198981713
1,1,35,07:15,8.440490196
1,2,35,07:15,8.67245098
1,3,35,07:15,8.433660131
1,4,35,07:15,8.221862745
1,5,35,07:15,8.538986928
2,1,35,07:15,8.52350892
2,2,35,07:15,8.528951328
2,3,35,07:15,8.676809759
2,4,35,07:15,8.88052582
2,5,35,07:15,8.648278347
3,1,35,07:15,8.70755156
3,2,35,07:15,8.379292044
3,3,35,07:15,9.386459016
3,4,35,07:15,9.072248015
3,5,35,07:15,8.668631972
1,1,35,07:30,8.73830172
1,2,35,07:30,8.698564888
1,3,35,07:30,8.527551845
1,4,35,07:30,8.516424916
1,5,35,07:30,8.840644839
2,1,35,07:30,8.205732162
2,2,35,07:30,8.896106485
2,3,35,07:30,8.724003619
2,4,35,07:30,8.782030639
2,5,35,07:30,8.719035132
3,1,35,07:30,8.505791986
3,2,35,07:30,8.599756389
3,3,35,07:30,8.725589142
3,4,35,07:30,8.880369394
3,5,35,07:30,8.427301879
1,1,35,07:45,8.992089289
1,2,35,07:45,8.562562804
1,3,35,07:45,8.727429096
1,4,35,07:45,10.1127648
1,5,35,07:45,8.77903072
2,1,35,07:45,8.909417123
2,2,35,07:45,8.958902639
2,3,35,07:45,8.894419653
2,4,35,07:45,9.429712779
2,5,35,07:45,8.834782475
3,1,35,07:45,8.961411251
3,2,35,07:45,9.226140634
3,3,35,07:45,9.087636578
3,4,35,07:45,9.023451772
3,5,35,07:45,9.211286367
1,1,35,08:00,10.14807524
1,2,35,08:00,10.34254781
1,3,35,08:00,9.976840642
1,4,35,08:00,10.84744697
1,5,35,08:00,10.78749678
2,1,35,08:00,9.118743223
2,2,35,08:00,8.927709566
2,3,35,08:00,8.903220291
2,4,35,08:00,9.395635433
2,5,35,08:00,9.299723616
3,1,35,08:00,8.603179744
3,2,35,08:00,8.506219152
3,3,35,08:00,8.609761729
3,4,35,08:00,8.435526529
3,5,35,08:00,8.827432036
1,1,35,08:15,10.92813698
1,2,35,08:15,10.46740123
1,3,35,08:15,10.89683751
1,4,35,08:15,10.31973879
1,5,35,08:15,10.74587377
2,1,35,08:15,9.572450668
2,2,35,08:15,9.784085954
2,3,35,08:15,9.411278614
2,4,35,08:15,9.214472006
2,5,35,08:15,9.834336882
3,1,35,08:15,9.292794033
3,2,35,08:15,9.021386695
3,3,35,08:15,8.495513473
3,4,35,08:15,9.14636261
3,5,35,08:15,8.827323773
1,1,35,08:30,10.6451031
1,2,35,08:30,10.79220866
1,3,35,08:30,10.44659133
1,4,35,08:30,10.82612438
1,5,35,08:30,10.73606045
2,1,35,08:30,10.02868383
2,2,35,08:30,10.68638347
2,3,35,08:30,10.12669167
2,4,35,08:30,10.74230836
2,5,35,08:30,10.61527385
3,1,35,08:30,8.956653054
3,2,35,08:30,9.120376628
3,3,35,08:30,9.114123155
3,4,35,08:30,9.402274462
3,5,35,08:30,9.011555272
1,1,35,08:45,11.19521139
1,2,35,08:45,11.07128251
1,3,35,08:45,11.18727994
1,4,35,08:45,11.03740862
1,5,35,08:45,11.51420431
2,1,35,08:45,10.59229714
2,2,35,08:45,10.51116953
2,3,35,08:45,10.69309585
2,4,35,08:45,10.00280617
2,5,35,08:45,10.99676243
3,1,35,08:45,9.26138333
3,2,35,08:45,9.991750936
3,3,35,08:45,9.812269461
3,4,35,08:45,9.422504961
3,5,35,08:45,9.501393259
1,1,35,09:00,11.27915048
1,2,35,09:00,11.15142934
1,3,35,09:00,11.29350929
1,4,35,09:00,11.17748451
1,5,35,09:00,11.33006041
2,1,35,09:00,10.74232544
2,2,35,09:00,11.03074487
2,3,35,09:00,11.05062324
2,4,35,09:00,10.11705594
2,5,35,09:00,11.3210123
3,1,35,09:00,10.03391656
3,2,35,09:00,9.811981856
3,3,35,09:00,9.489886733
3,4,35,09:00,9.935607151
3,5,35,09:00,10.4160855
